Agent ID,Agent Name,Agent Type,taxonomy ID,txonomy level,Lineage,Agent properties,HAMAP,Viralzone,GOLD
Influenzavirus A influenza A virus H5N1 subtype A/Goose/Hong Kong/437-4/99,Influenzavirus A influenza A virus H5N1 subtype A/Goose/Hong Kong/437-4/99,Virus,102793,1,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/282""> A/Goose/Hong Kong/437-4/99</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Goose/Hong Kong/739.2/2002,Influenzavirus A influenza A virus H5N1 subtype A/Goose/Hong Kong/739.2/2002,Virus,680803,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/283""> A/Goose/Hong Kong/739.2/2002</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Goose/Vietnam/113/2001,Influenzavirus A influenza A virus H5N1 subtype A/Goose/Vietnam/113/2001,Virus,432078,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/284""> A/Goose/Vietnam/113/2001</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Goose/Vietnam/324/2001,Influenzavirus A influenza A virus H5N1 subtype A/Goose/Vietnam/324/2001,Virus,432364,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/285""> A/Goose/Vietnam/324/2001</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/212/2003,Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/212/2003,Virus,102793,1,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/286""> A/Hong Kong/212/2003</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            I03A0
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/213/2003,Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/213/2003,Virus,432070,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/287""> A/Hong Kong/213/2003</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/483/97,Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/483/97,Virus,88104,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/288""> A/Hong Kong/483/97</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/486/97,Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/486/97,Virus,107424,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/289""> A/Hong Kong/486/97</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/542/97,Influenzavirus A influenza A virus H5N1 subtype A/Hong Kong/542/97,Virus,155220,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/290""> A/Hong Kong/542/97</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Rosybilled Pochard/Hong Kong/821/2002,Influenzavirus A influenza A virus H5N1 subtype A/Rosybilled Pochard/Hong Kong/821/2002,Virus,1277916,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/291""> A/Rosybilled Pochard/Hong Kong/821/2002</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Teal/Hong Kong/2978.1/2002,Influenzavirus A influenza A virus H5N1 subtype A/Teal/Hong Kong/2978.1/2002,Virus,102793,1,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/292""> A/Teal/Hong Kong/2978.1/2002</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Thailand/16/2004,Influenzavirus A influenza A virus H5N1 subtype A/Thailand/16/2004,Virus,428669,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/293""> A/Thailand/16/2004</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Vietnam/1194/2004,Influenzavirus A influenza A virus H5N1 subtype A/Vietnam/1194/2004,Virus,644788,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/294""> A/Vietnam/1194/2004</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N1 subtype A/Vietnam/1203/2004,Influenzavirus A influenza A virus H5N1 subtype A/Vietnam/1203/2004,Virus,284218,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/275""> H5N1 subtype</a>, <a href=""/agents/295""> A/Vietnam/1203/2004</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N2 subtype A/Chicken/Mexico/31381-3/94,Influenzavirus A influenza A virus H5N2 subtype A/Chicken/Mexico/31381-3/94,Virus,380919,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/296""> H5N2 subtype</a>, <a href=""/agents/297""> A/Chicken/Mexico/31381-3/94</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N2 subtype A/Chicken/New Jersey/17169/1993,Influenzavirus A influenza A virus H5N2 subtype A/Chicken/New Jersey/17169/1993,Virus,119220,1,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/296""> H5N2 subtype</a>, <a href=""/agents/298""> A/Chicken/New Jersey/17169/1993</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N2 subtype A/Chukkar/Minnesota/14591-7/98,Influenzavirus A influenza A virus H5N2 subtype A/Chukkar/Minnesota/14591-7/98,Virus,119220,1,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/296""> H5N2 subtype</a>, <a href=""/agents/299""> A/Chukkar/Minnesota/14591-7/98</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N2 subtype A/Duck/NJ/117228-7/2001,Influenzavirus A influenza A virus H5N2 subtype A/Duck/NJ/117228-7/2001,Virus,232432,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/296""> H5N2 subtype</a>, <a href=""/agents/300""> A/Duck/NJ/117228-7/2001</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N2 subtype A/Turkey/California/DO-6/2002,Influenzavirus A influenza A virus H5N2 subtype A/Turkey/California/DO-6/2002,Virus,119220,1,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/296""> H5N2 subtype</a>, <a href=""/agents/301""> A/Turkey/California/DO-6/2002</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N3 subtype A/Chicken/Texas/167280-4/2002,Influenzavirus A influenza A virus H5N3 subtype A/Chicken/Texas/167280-4/2002,Virus,556751,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/302""> H5N3 subtype</a>, <a href=""/agents/303""> A/Chicken/Texas/167280-4/2002</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N3 subtype A/Turkey/California/6878/79,Influenzavirus A influenza A virus H5N3 subtype A/Turkey/California/6878/79,Virus,542933,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/302""> H5N3 subtype</a>, <a href=""/agents/304""> A/Turkey/California/6878/79</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N8 subtype A/Turkey/Wisconsin/68,Influenzavirus A influenza A virus H5N8 subtype A/Turkey/Wisconsin/68,Virus,380299,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/305""> H5N8 subtype</a>, <a href=""/agents/306""> A/Turkey/Wisconsin/68</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H5N9 subtype A/Ratite/New York/12716/94,Influenzavirus A influenza A virus H5N9 subtype A/Ratite/New York/12716/94,Virus,542881,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/307""> H5N9 subtype</a>, <a href=""/agents/308""> A/Ratite/New York/12716/94</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H6N1 subtype A/Teal/Hong Kong/W312/97,Influenzavirus A influenza A virus H6N1 subtype A/Teal/Hong Kong/W312/97,Virus,129781,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/309""> H6N1 subtype</a>, <a href=""/agents/310""> A/Teal/Hong Kong/W312/97</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H6N2 subtype A/Gull/Moscow/3100/06,Influenzavirus A influenza A virus H6N2 subtype A/Gull/Moscow/3100/06,Virus,471851,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/311""> H6N2 subtype</a>, <a href=""/agents/312""> A/Gull/Moscow/3100/06</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H6N2 subtype A/turkey/Massachusetts/3740/1965,Influenzavirus A influenza A virus H6N2 subtype A/turkey/Massachusetts/3740/1965,Virus,402473,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/311""> H6N2 subtype</a>, <a href=""/agents/313""> A/turkey/Massachusetts/3740/1965</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            -
		    ",,
Influenzavirus A influenza A virus H6N5 subtype A/Shearwater/Australia/1/72,Influenzavirus A influenza A virus H6N5 subtype A/Shearwater/Australia/1/72,Virus,383604,0,"[<a href=""/agents/232""> Influenzavirus A</a>, <a href=""/agents/233""> influenza A virus</a>, <a href=""/agents/314""> H6N5 subtype</a>, <a href=""/agents/315""> A/Shearwater/Australia/1/72</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/49"">V - (-)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/9"">Virion polymerase</a> : <a href=""/agentProperties/34"">Yes</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            I72A5
		    ",,
